<2016-10-04 16:20:35,628> INFO/tool/getStarScore, Line:55: 5.6
<2016-10-04 16:20:35,628> INFO/tool/getMovieType, Line:65: 动作/科幻/冒险/灾难 
<2016-10-04 16:20:35,628> INFO/tool/getReleaseTime, Line:43: 2016-09-23
<2016-10-04 16:20:35,630> INFO/tool/getMovieType, Line:65: 动作/犯罪/冒险
<2016-10-04 16:20:35,630> INFO/tool/getReleaseTime, Line:43: 2016-09-22
<2016-10-04 16:20:35,631> INFO/tool/getStarScore, Line:55: 6.6
<2016-10-04 16:20:35,631> INFO/tool/getMovieType, Line:65: 剧情/家庭
<2016-10-04 16:20:35,631> INFO/tool/getReleaseTime, Line:43: 2016-09-21
<2016-10-04 16:20:35,632> INFO/tool/getStarScore, Line:55: 6.5
<2016-10-04 16:20:35,632> INFO/tool/getMovieType, Line:65: 动作/冒险
<2016-10-04 16:20:35,634> INFO/movie_model_operation/set_array_movies_data, Line:65: prepare to write data to database
<2016-10-04 16:20:35,637> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年犯罪剧情传记《潜伏者》BD中英双字幕
<2016-10-04 16:20:35,637> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年动作喜剧《赏金猎人》BD国粤双语中字
<2016-10-04 16:20:35,638> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年奇幻动画《大鱼海棠》HD国语中字
<2016-10-04 16:20:35,638> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年动作《使徒行者》HD国语中字
<2016-10-04 16:20:35,638> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年获奖剧情《喊・山/喊山》HD国语中字
<2016-10-04 16:20:35,638> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年奇幻《爱丽丝梦游仙境2：镜中奇遇记》国英双语BD中英双字幕
<2016-10-04 16:20:35,638> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年科幻喜剧《超能敢死队加长版》BD中英双字幕
<2016-10-04 16:20:35,640> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年科幻动作喜剧《超能敢死队》HD中英双字幕
<2016-10-04 16:20:35,640> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年科幻动画《最终幻想15：王者之剑》BD中英双字幕
<2016-10-04 16:20:35,640> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年冒险喜剧《瑞士军刀男》BD中英双字幕
<2016-10-04 16:20:35,641> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年成龙动作喜剧《绝地逃亡》HD国语中字
<2016-10-04 16:20:35,641> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年科幻动作《人类清除计划3》BD中英双字幕
<2016-10-04 16:20:35,641> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年井柏然杨颖《微微一笑很倾城》HD国语中字
<2016-10-04 16:20:35,641> INFO/movie_model_operation/set_array_movies_data, Line:78: before title 2016年奇幻《爱丽丝梦游仙境2：镜中奇遇记》HD中英双字幕
